id,downloaded
223427,1.0
991203,1.0
121407,1.0
646222,1.0
515608,1.0
970636,1.0
458312,1.0
355559,1.0
534296,1.0
911802,1.0
258361,1.0
461151,1.0
958117,1.0
626918,0.0
620197,1.0
353201,1.0
456014,1.0
896746,1.0
354839,1.0
522401,1.0
607276,1.0
460812,1.0
686032,1.0
906463,1.0
880288,1.0
660970,1.0
543216,1.0
837487,1.0
117288,1.0
834861,1.0
871240,1.0
808678,1.0
125166,1.0
554989,1.0
287493,1.0
618840,1.0
695530,1.0
738978,1.0
865167,1.0
550273,1.0
160168,1.0
219134,1.0
771680,1.0
316049,1.0
604132,1.0
493457,1.0
916990,1.0
700549,1.0
630225,1.0
205831,1.0
877776,1.0
400832,1.0
789877,1.0
315338,1.0
915617,1.0
241990,1.0
521358,1.0
690959,1.0
411848,1.0
380264,1.0
181919,1.0
404109,1.0
239811,1.0
757161,1.0
125852,1.0
840650,1.0
303775,1.0
508667,1.0
934152,1.0
674062,1.0
799664,1.0
736663,1.0
451823,1.0
363974,1.0
224997,1.0
866766,1.0
806842,1.0
838775,1.0
373983,1.0
492036,1.0
200132,1.0
214999,1.0
439614,1.0
381184,1.0
180833,1.0
124861,1.0
893427,1.0
641555,1.0
796525,1.0
134132,1.0
275349,1.0
870019,1.0
962539,1.0
671573,1.0
580141,1.0
482176,1.0
880102,1.0
285455,1.0
252568,1.0
705628,1.0
868255,1.0
120898,1.0
111602,1.0
798667,1.0
948714,1.0
399880,1.0
622471,1.0
275968,1.0
310514,1.0
428435,1.0
319242,1.0
800110,1.0
401172,1.0
891809,1.0
288963,1.0
651500,1.0
610459,1.0
382061,1.0
331774,1.0
903012,1.0
428224,1.0
845441,1.0
483403,1.0
788887,1.0
727083,1.0
474712,1.0
387919,1.0
536703,1.0
347802,1.0
371671,1.0
661901,1.0
352307,1.0
808372,1.0
876437,1.0
330470,1.0
633716,1.0
921564,1.0
117565,1.0
437494,1.0
344071,1.0
922807,1.0
891761,1.0
131157,1.0
943300,1.0
235221,1.0
183346,1.0
856428,1.0
103020,1.0
627787,1.0
982261,1.0
976653,1.0
281057,1.0
565284,1.0
503750,1.0
967978,1.0
870615,1.0
537541,1.0
482912,1.0
508823,1.0
357324,1.0
519261,1.0
233376,1.0
407760,1.0
644011,1.0
715142,1.0
577319,1.0
607369,1.0
439156,1.0
239187,1.0
297778,1.0
651343,1.0
360131,1.0
993159,1.0
672729,1.0
425063,1.0
260080,1.0
385280,1.0
991550,1.0
812529,1.0
628336,1.0
556818,1.0
394202,1.0
399975,1.0
163570,1.0
844704,1.0
382426,1.0
776308,1.0
775089,1.0
399521,1.0
590836,1.0
974522,1.0
673561,1.0
237941,1.0
158381,1.0
909342,1.0
295836,1.0
354333,1.0
452940,1.0
476099,1.0
613671,1.0
140711,1.0
554364,1.0
918465,1.0
305976,1.0
458239,1.0
308822,1.0
213468,1.0
273575,1.0
876871,1.0
705520,1.0
670452,1.0
318374,1.0
700670,1.0
171152,1.0
101709,1.0
435968,1.0
270945,1.0
745482,1.0
316328,1.0
641313,1.0
245861,1.0
654376,1.0
545549,1.0
429621,1.0
103433,1.0
372197,1.0
912237,1.0
208935,1.0
286155,1.0
887166,1.0
516161,1.0
898307,1.0
740618,1.0
367580,1.0
783101,1.0
537018,1.0
733961,1.0
546674,1.0
193505,1.0
433466,1.0
811231,1.0
189316,1.0
951193,1.0
538797,1.0
827823,1.0
434667,1.0
467649,1.0
789673,1.0
541482,1.0
876819,1.0
677052,1.0
566586,1.0
906512,1.0
100000,1.0
891505,1.0
623005,1.0
643504,1.0
684439,1.0
491986,1.0
216951,1.0
538074,1.0
758007,1.0
783961,1.0
401212,1.0
169344,1.0
858260,1.0
916624,1.0
115753,1.0
825776,1.0
556523,1.0
800397,1.0
877700,1.0
249699,1.0
858428,1.0
715315,1.0
155333,1.0
985798,1.0
342308,1.0
483798,1.0
791096,1.0
509333,1.0
484525,1.0
475836,1.0
743683,1.0
165351,1.0
264388,1.0
124556,1.0
813888,1.0
384678,1.0
681890,1.0
238040,1.0
506051,1.0
110452,1.0
489423,1.0
928024,1.0
430486,1.0
724173,1.0
425801,1.0
367906,1.0
685266,1.0
424967,1.0
334363,1.0
193731,1.0
679915,1.0
861769,1.0
218680,1.0
539995,1.0
864840,1.0
542380,1.0
496830,1.0
774908,1.0
427415,1.0
470933,1.0
285423,1.0
606443,1.0
522112,1.0
723097,1.0
474780,1.0
107970,1.0
229930,1.0
554827,1.0
251916,1.0
986597,1.0
248968,1.0
155733,1.0
476479,1.0
860308,1.0
201593,1.0
849524,1.0
424941,1.0
945439,1.0
765039,1.0
696177,1.0
764205,1.0
301897,1.0
509015,1.0
789432,1.0
710060,1.0
723340,1.0
143636,1.0
715203,1.0
384300,1.0
160596,1.0
139251,1.0
777909,1.0
706455,1.0
200105,1.0
903266,1.0
989753,1.0
848974,1.0
560587,1.0
722751,1.0
456848,1.0
878125,1.0
420031,1.0
533181,1.0
277501,1.0
245518,1.0
195049,1.0
465686,1.0
511375,1.0
385533,1.0
420224,1.0
694396,1.0
476441,1.0
196271,1.0
935786,1.0
628615,1.0
659776,1.0
438605,1.0
578456,1.0
344489,1.0
535033,1.0
195836,1.0
357149,1.0
254599,1.0
870677,1.0
930393,1.0
143081,1.0
507005,1.0
514457,1.0
635388,1.0
306892,1.0
411914,1.0
668657,1.0
298150,1.0
291290,1.0
476862,1.0
702433,1.0
739527,1.0
953568,1.0
708022,1.0
858537,1.0
177250,1.0
962894,1.0
558458,1.0
348266,1.0
289211,1.0
768522,1.0
889115,1.0
324780,1.0
652532,1.0
243213,1.0
762641,1.0
766564,1.0
105946,1.0
840984,1.0
334703,1.0
730424,1.0
421894,1.0
321068,1.0
229833,1.0
850110,1.0
972578,1.0
148832,1.0
767660,1.0
165695,1.0
360497,1.0
645135,1.0
733990,1.0
106255,1.0
887411,1.0
813222,1.0
383102,1.0
222192,1.0
493540,1.0
829787,1.0
523365,1.0
353319,1.0
713100,1.0
723503,1.0
965729,1.0
583072,1.0
295488,1.0
901095,1.0
900076,1.0
245859,1.0
288935,1.0
824721,1.0
265180,1.0
181021,1.0
744245,1.0
172843,1.0
875531,1.0
971877,1.0
836997,1.0
403975,1.0
558141,1.0
139103,1.0
706957,1.0
619042,1.0
665732,1.0
226699,1.0
276107,1.0
805766,1.0
390692,1.0
124915,1.0
625068,1.0
627987,1.0
270004,1.0
679762,1.0
581875,1.0
252846,1.0
927245,1.0
721628,1.0
128100,1.0
498153,1.0
463128,1.0
411799,1.0
545312,1.0
626229,1.0
409475,1.0
332011,1.0
297763,1.0
132322,1.0
585271,1.0
644997,1.0
633488,1.0
487332,1.0
877330,1.0
303025,1.0
876489,1.0
920923,1.0
269064,1.0
752686,1.0
320310,1.0
185400,1.0
920071,1.0
312629,1.0
830744,1.0
855209,1.0
356423,1.0
417029,1.0
804155,1.0
279221,1.0
176618,1.0
938302,1.0
944862,1.0
224129,1.0
234571,1.0
462251,1.0
950854,1.0
385871,1.0
303451,1.0
508014,1.0
555770,1.0
737100,1.0
644553,1.0
621288,1.0
656212,1.0
473929,1.0
235361,1.0
668006,1.0
153978,1.0
276673,1.0
464815,1.0
734894,1.0
371915,1.0
690896,1.0
799653,1.0
761628,1.0
664270,1.0
584760,1.0
606028,1.0
448079,1.0
237664,1.0
725681,1.0
382722,1.0
840901,1.0
245640,1.0
605604,1.0
973354,1.0
521542,1.0
864205,1.0
339602,1.0
956000,1.0
702514,1.0
548236,1.0
775282,1.0
238536,1.0
359548,1.0
911284,1.0
241526,1.0
565684,1.0
392636,1.0
410699,1.0
265635,1.0
477190,1.0
158864,1.0
172388,1.0
805523,1.0
962674,1.0
445165,1.0
127060,1.0
968119,1.0
841707,1.0
916250,1.0
857368,1.0
906149,1.0
567225,1.0
922075,1.0
977992,1.0
362903,1.0
433779,1.0
910227,1.0
682160,1.0
947061,1.0
225856,1.0
560444,1.0
674989,1.0
448121,1.0
893678,1.0
